,Postcode,Baths,Income,Parking,Bedrooms,Count_Shopping_Center,Weekly Rental Price,Pred_2023,Pred_2024,Pred_2025,rate_2023,rate_2024,rate_2025
0,3000,1,38674.04618557919,1,1,18.0,440.0,553.9402604822039,555.169334556278,555.0869271488706,0.2589551374595544,0.0022187845183958992,-0.00014843652607960295
1,3000,2,38674.04618557919,1,2,18.0,650.0,731.4292802566597,729.7449052566598,730.2750769738315,0.12527581577947644,-0.002302854213614311,0.0007265165037160893
2,3000,1,38674.04618557919,0,1,18.0,440.0,419.39927518881314,419.5483492628872,419.4659418554798,-0.04681982911633378,0.0003554466659651517,-0.0001964193341534656
3,3000,1,38674.04618557919,0,1,18.0,320.0,419.39927518881314,419.5483492628872,419.4659418554798,0.31062273496504106,0.0003554466659651517,-0.0001964193341534656
4,3000,2,38674.04618557919,0,2,18.0,700.0,668.2843543361978,667.05657655842,667.6954374051755,-0.04530806523400315,-0.0018372086220652334,0.0009577311268732469
5,3000,1,38674.04618557919,0,2,18.0,395.0,541.8397584555139,543.3023540470567,543.0130378077406,0.3717462239380099,0.002699313899946868,-0.0005325142384548983
6,3000,1,38674.04618557919,0,1,18.0,370.0,419.39927518881314,419.5483492628872,419.4659418554798,0.1335115545643598,0.0003554466659651517,-0.0001964193341534656
7,3000,3,38674.04618557919,2,3,18.0,2500.0,2035.6805555555559,2013.4805555555558,2010.7282828282828,-0.18572777777777766,-0.01090544385238354,-0.0013669229234317907
8,3000,1,38674.04618557919,0,1,18.0,450.0,419.39927518881314,419.5483492628872,419.4659418554798,-0.06800161069152637,0.0003554466659651517,-0.0001964193341534656
9,3000,2,38674.04618557919,0,3,18.0,530.0,933.9502824701384,932.2391713590272,938.784491224347,0.76217034428328,-0.001832122269491291,0.007021073632615096
10,3000,1,38674.04618557919,0,2,18.0,550.0,541.8397584555139,543.3023540470567,543.0130378077406,-0.014836802808156541,0.002699313899946868,-0.0005325142384548983
11,3000,2,38674.04618557919,0,2,18.0,680.0,668.2843543361978,667.05657655842,667.6954374051755,-0.017228890682062067,-0.0018372086220652334,0.0009577311268732469
12,3000,1,38674.04618557919,0,2,18.0,350.0,541.8397584555139,543.3023540470567,543.0130378077406,0.5481135955871825,0.002699313899946868,-0.0005325142384548983
13,3000,1,38674.04618557919,0,2,18.0,680.0,541.8397584555139,543.3023540470567,543.0130378077406,-0.20317682580071486,0.002699313899946868,-0.0005325142384548983
14,3000,1,38674.04618557919,1,1,18.0,550.0,553.9402604822039,555.169334556278,555.0869271488706,0.007164109967643526,0.0022187845183958992,-0.00014843652607960295
15,3000,1,38674.04618557919,1,1,18.0,450.0,553.9402604822039,555.169334556278,555.0869271488706,0.23097835662711985,0.0022187845183958992,-0.00014843652607960295
16,3000,1,38674.04618557919,0,1,18.0,430.0,419.39927518881314,419.5483492628872,419.4659418554798,-0.024652848398108988,0.0003554466659651517,-0.0001964193341534656
17,3000,1,38674.04618557919,0,2,18.0,420.0,541.8397584555139,543.3023540470567,543.0130378077406,0.2900946629893188,0.002699313899946868,-0.0005325142384548983
18,3000,1,38674.04618557919,0,1,18.0,410.0,419.39927518881314,419.5483492628872,419.4659418554798,0.022925061436129598,0.0003554466659651517,-0.0001964193341534656
19,3000,2,38674.04618557919,1,3,18.0,950.0,1587.8699827346147,1582.7846123642444,1579.303635933268,0.6714420870890682,-0.003202636504036923,-0.002199273611699306
20,3000,2,38674.04618557919,2,2,18.0,950.0,896.8330628989142,893.9247295655808,899.1441740100255,-0.05596519694851131,-0.0032428926336999096,0.005838796345841273
21,3000,2,38674.04618557919,1,2,18.0,550.0,731.4292802566597,729.7449052566598,730.2750769738315,0.3298714186484722,-0.002302854213614311,0.0007265165037160893
22,3000,1,38674.04618557919,0,1,18.0,260.0,419.39927518881314,419.5483492628872,419.4659418554798,0.6130741353415889,0.0003554466659651517,-0.0001964193341534656
23,3000,1,38674.04618557919,1,2,18.0,550.0,604.0353124941132,604.0359392747401,604.2374544262552,0.09824602271656947,1.0376556038464655e-06,0.0003336145060458474
24,3000,1,38674.04618557919,0,1,18.0,300.0,419.39927518881314,419.5483492628872,419.4659418554798,0.39799758396271046,0.0003554466659651517,-0.0001964193341534656
25,3000,1,38674.04618557919,0,2,18.0,370.0,541.8397584555139,543.3023540470567,543.0130378077406,0.46443177960949705,0.002699313899946868,-0.0005325142384548983
26,3000,1,38674.04618557919,1,2,18.0,600.0,604.0353124941132,604.0359392747401,604.2374544262552,0.006725520823522023,1.0376556038464655e-06,0.0003336145060458474
27,3000,2,38674.04618557919,1,2,18.0,500.0,731.4292802566597,729.7449052566598,730.2750769738315,0.4628585605133194,-0.002302854213614311,0.0007265165037160893
28,3000,1,38674.04618557919,0,2,18.0,595.0,541.8397584555139,543.3023540470567,543.0130378077406,-0.08934494377224554,0.002699313899946868,-0.0005325142384548983
29,3000,1,38674.04618557919,0,1,18.0,400.0,419.39927518881314,419.5483492628872,419.4659418554798,0.04849818797203284,0.0003554466659651517,-0.0001964193341534656
30,3000,1,38674.04618557919,0,1,18.0,250.0,419.39927518881314,419.5483492628872,419.4659418554798,0.6775971007552526,0.0003554466659651517,-0.0001964193341534656
31,3000,1,38674.04618557919,0,1,18.0,200.0,419.39927518881314,419.5483492628872,419.4659418554798,1.0969963759440657,0.0003554466659651517,-0.0001964193341534656
32,3000,2,38674.04618557919,1,2,18.0,695.0,731.4292802566597,729.7449052566598,730.2750769738315,0.05241623058512186,-0.002302854213614311,0.0007265165037160893
33,3000,2,38674.04618557919,1,2,18.0,1100.0,731.4292802566597,729.7449052566598,730.2750769738315,-0.33506429067576393,-0.002302854213614311,0.0007265165037160893
34,3000,1,38674.04618557919,0,2,18.0,500.0,541.8397584555139,543.3023540470567,543.0130378077406,0.0836795169110278,0.002699313899946868,-0.0005325142384548983
35,3000,2,38674.04618557919,1,2,18.0,680.0,731.4292802566597,729.7449052566598,730.2750769738315,0.07563129449508779,-0.002302854213614311,0.0007265165037160893
36,3000,2,38674.04618557919,1,2,18.0,610.0,731.4292802566597,729.7449052566598,730.2750769738315,0.19906439386337654,-0.002302854213614311,0.0007265165037160893
37,3000,2,38674.04618557919,1,3,18.0,695.0,1587.8699827346147,1582.7846123642444,1579.303635933268,1.284705011128942,-0.003202636504036923,-0.002199273611699306
38,3000,2,38674.04618557919,1,2,18.0,800.0,731.4292802566597,729.7449052566598,730.2750769738315,-0.08571339967917538,-0.002302854213614311,0.0007265165037160893
39,3000,1,38674.04618557919,1,1,18.0,380.0,553.9402604822039,555.169334556278,555.0869271488706,0.45773752758474723,0.0022187845183958992,-0.00014843652607960295
40,3000,2,38674.04618557919,1,2,18.0,580.0,731.4292802566597,729.7449052566598,730.2750769738315,0.2610849659597581,-0.002302854213614311,0.0007265165037160893
41,3000,1,38674.04618557919,0,1,18.0,550.0,419.39927518881314,419.5483492628872,419.4659418554798,-0.23745586329306703,0.0003554466659651517,-0.0001964193341534656
42,3000,1,38674.04618557919,0,1,18.0,350.0,419.39927518881314,419.5483492628872,419.4659418554798,0.19828364339660895,0.0003554466659651517,-0.0001964193341534656
