,Postcode,Centroid,School_Name,Address,Location,Distance,Duration
1,3000,-37.817403 144.956776,Ozford College,Levels 7 & 9,-37.81289 144.95442,1.1 km,5 mins
4,3003,-37.810871 144.949592,Simonds Catholic College,273 Victoria Street,-37.80597 144.95288,1.0 km,4 mins
6,3004,-37.844246 144.970161,MacRobertson Girls High School,350-370 Kings Way,-37.83589 144.97186,1.4 km,3 mins
9,3006,-37.82528675 144.9520744,South Melbourne Primary School,129-161 Ferrars Street,-37.82935 144.9535,1.4 km,5 mins
11,3008,-37.814719 144.948039,Docklands Primary School,17 Little Docklands Drive,-37.81271 144.94055,0.9 km,3 mins
16,3011,-37.807101 144.907953,St Monica's School,2 Wingfield Street,-37.80116 144.90684,1.1 km,3 mins
19,3012,-37.807135 144.861162,Corpus Christi School,380 Geelong Road,-37.80853 144.87292,1.5 km,3 mins
21,3013,-37.814183 144.888686,Yarraville West Primary School,30 Powell Street,-37.81475 144.88539,0.7 km,3 mins
29,3015,-37.838242 144.880556,Sacred Heart School,20 Newcastle St,-37.84003 144.8814,0.3 km,1 min
35,3016,-37.863743 144.888461,Bayside P-12 College,29-69 Kororoit Creek Road,-37.8577 144.88521,1.0 km,2 mins
42,3018,-37.86172 144.812736,Mount St Joseph Girls' College,133 Maidstone Street,-37.8639 144.81167,0.3 km,1 min
48,3019,-37.784683 144.854014,Caroline Chisholm Catholic College,204 Churchill Avenue,-37.78586 144.8501,1.0 km,3 mins
50,3020,-37.777204 144.829945,Albion Primary School,61-81 Adelaide Street,-37.77808 144.81975,1.1 km,2 mins
67,3021,-37.743361 144.796693,St Albans Primary School,39 West Esplanade,-37.73875 144.79577,0.6 km,2 mins
84,3022,-37.795937 144.793961,Ardeer Primary School,Suspension Street,-37.78107 144.80049,3.1 km,7 mins
100,3023,-37.78272 144.770641,Southern Cross Grammar,2-20 Lancefield Drive,-37.71396 144.7396,10.1 km,15 mins
101,3024,-37.75045631 144.649936,Iramoo Primary School,261 - 269 Mcgrath Road,-37.89587 144.62857,20.7 km,26 mins
107,3025,-37.835562 144.839704,Emmanuel College,423 Blackshaws Road,-37.83162 144.84239,0.7 km,1 min
110,3026,-37.91624 144.64209,St Lawrence Catholic Primary School,93A Capesthorne Drive,-37.79068 144.76052,28.1 km,27 mins
111,3028,-37.875066 144.777165,Altona Meadows Primary School,78-88 Alma Avenue,-37.86869 144.77973,0.9 km,2 mins
126,3029,-37.837165 144.705831,Truganina P-9 College,55 Clearwood Drive,-37.83877 144.71909,1.6 km,4 mins
149,3030,-37.91624 144.64209,Riverwalk Primary School,56 Timbarra Avenue,-37.92103 144.63933,1.3 km,3 mins
171,3031,-37.79119 144.923403,Kensington Primary School,62-74 McCracken Street,-37.79267 144.92762,0.9 km,4 mins
181,3032,-37.774486 144.897221,Maribyrnong Secondary College,Gordon Strret,-37.77952 144.88824,1.5 km,4 mins
187,3033,-37.74107 144.857638,St Peter's School,2A Parkside Avenue,-37.74424 144.85942,0.7 km,2 mins
189,3034,-37.761235 144.86194,St Martin de Porres School,158 Military Road,-37.75847 144.86162,0.9 km,3 mins
193,3036,-37.705324 144.82246,Overnewton Anglican Community College,2-50 Overnewton Road,-37.70656 144.82318,0.4 km,2 mins
195,3037,-37.715579 144.780474,Mackellar Primary School,29-35 Goldsmith Avenue,-37.71723 144.77753,0.4 km,1 min
207,3038,-37.700454 144.766873,Taylors Lakes Secondary College,1-39 Parmelia Drive,-37.70741 144.7944,4.3 km,8 mins
210,3039,-37.766184 144.922995,Moonee Ponds Primary School,87 Wilson Street,-37.76334 144.93299,1.3 km,4 mins
219,3040,-37.751845 144.902556,Resurrection House,6 Aberfeldie Street,-37.75665 144.9052,0.8 km,2 mins
222,3041,-37.72674618 144.9011039,Essendon North Primary School,112 Keilor Road,-37.74152 144.90319,5.1 km,11 mins
228,3042,-37.727529 144.866305,Niddrie Primary School,25 Watt Street,-37.73085 144.87843,1.5 km,3 mins
236,3043,-37.691916 144.888368,School of the Good Shepherd,88 South Circular Road,-37.69303 144.88946,0.3 km,2 mins
242,3044,-37.731138 144.936356,St Oliver Plunkett's School,1-39 Landells Road,-37.73089 144.94186,0.6 km,2 mins
248,3046,-37.706578 144.927968,Glenroy Central Primary School,10 Logan Street,-37.70428 144.92504,0.6 km,2 mins
254,3047,-37.681105 144.930247,Broadmeadows Primary School,62-70 Blair Street,-37.68019 144.92849,0.6 km,1 min
268,3048,-37.653917 144.923609,Bethal Primary School,26-52 Eldorado Crescent,-37.6592 144.91782,1.2 km,3 mins
272,3049,-37.673182 144.888492,Westmeadows Primary School,34-46 Riddell Street,-37.67565 144.8957,1.3 km,3 mins
273,3051,-37.8006 144.943559,North Melbourne Primary School,210 Errol Street,-37.79873 144.95064,1.1 km,4 mins
278,3052,-37.788996 144.948903,Royal Childrens Hospital Education Institute,"Suite 1.4, Level 1",-37.79435 144.95097,1.6 km,3 mins
281,3053,-37.803569 144.966112,Carlton Gardens Primary School,215 Rathdowne Street,-37.80205 144.96951,0.5 km,2 mins
285,3054,-37.786971 144.96724,Princes Hill Secondary College,47 Arnold Street,-37.78348 144.96503,0.9 km,4 mins
289,3055,-37.763584 144.942222,St Joseph's School,185 Hope Street,-37.76229 144.94298,0.2 km,2 mins
290,3056,-37.766292 144.960108,Sydney Road Community School,350 Sydney Road,-37.76969 144.96188,0.6 km,3 mins
294,3057,-37.770012 144.97728,Brunswick East Primary School,195a Stewart Street,-37.76527 144.98,0.9 km,3 mins
296,3058,-37.739901 144.964524,Coburg Primary School,92 Bell Street,-37.7413 144.96821,0.5 km,2 mins
307,3059,-37.639887 144.879626,Greenvale Primary School,12-24 Bradford Avenue,-37.63983 144.88618,1.9 km,5 mins
318,3060,-37.707326 144.967874,Darul Ulum College of Victoria,17 Baird Street,-37.70518 144.97169,0.5 km,2 mins
319,3061,-37.666265 144.956763,Campbellfield Heights Primary School,1-13 Laurel Crescent,-37.67433 144.96587,1.8 km,3 mins
340,3064,-37.546522 144.942199,Oscar Romero Catholic Primary School,1 MacKillop Street,-37.58197 144.8961,10.9 km,15 mins
343,3065,-37.802608 144.977795,Academy of Mary Immaculate,88 Nicholson Street,-37.80371 144.97441,0.5 km,2 mins
346,3066,-37.804846 144.986906,Collingwood English Language School,19 Cambridge Street,-37.80784 144.9848,0.5 km,2 mins
349,3067,-37.803515 144.998203,Sophia Mundi Steiner School,1 St Heliers Street,-37.80366 145.00522,0.9 km,5 mins
355,3068,-37.790974 144.98622,St John's School,77 Queens Parade,-37.79034 144.98822,0.7 km,2 mins
362,3070,-37.774064 144.999745,St Joseph's School,39 James Street,-37.77462 144.99672,0.4 km,2 mins
364,3071,-37.759426 145.007006,Wales Street Primary School,Wales Street,-37.76151 145.00883,0.4 km,1 min
380,3072,-37.74247 145.005702,Preston High School,2-16 Cooma Street,-37.74169 145.0064,0.1 km,1 min
385,3073,-37.712474 145.005955,Reservoir Primary School,Duffy Street,-37.71142 145.00677,0.5 km,1 min
399,3074,-37.684684 145.006644,Thomastown Primary School,10 Spring Street,-37.68227 145.0115,1.0 km,2 mins
410,3075,-37.66607 145.002679,Lalor Gardens Primary School,134 Kingsway Drive,-37.66369 145.00135,0.7 km,1 min
418,3076,-37.643598 145.022137,Epping Primary School,805 High Street,-37.64485 145.02559,0.5 km,1 min
425,3078,-37.778298 145.025853,Fairfield Primary School,Langridge Street,-37.77799 145.0204,0.7 km,3 mins
431,3079,-37.772675 145.048573,Ivanhoe Grammar School,The Ridgeway,-37.77252 145.04448,0.5 km,1 min
436,3081,-37.743008 145.046401,St Pius X School,431 Waterdale Road,-37.74692 145.04629,0.5 km,1 min
441,3082,-37.664858 145.065658,Mill Park Secondary College,9 - 25 Moorhead Drive,-37.66416 145.06341,0.4 km,1 min
