,Postcode,Income Per Person
0,3000,9422
1,3000,3899
2,3000,27182
3,3000,14582
4,3000,4045
5,3002,3899
6,3003,14582
7,3004,3899
8,3004,5106
9,3004,15422
10,3004,11685
11,3004,8953
12,3004,20537
13,3005,11263
14,3006,15422
15,3006,8953
16,3008,11263
17,3010,9422
18,3010,4045
19,3011,11301
20,3011,6027
21,3012,9833
22,3012,7539
23,3012,10693
24,3012,6027
25,3012,7505
26,3013,6027
27,3013,9714
28,3015,7539
29,3015,11533
30,3016,11533
31,3016,10154
32,3018,8061
33,3019,10693
34,3020,4479
35,3020,5971
36,3020,6314
37,3020,9833
38,3021,7466
39,3021,
40,3021,10444
41,3021,8533
42,3022,4479
43,3023,5567
44,3023,14083
45,3023,
46,3023,8533
47,3023,11530
48,3023,3367
49,3023,10902
50,3024,3367
51,3024,25458
52,3024,15141
53,3025,7539
54,3025,11533
55,3026,6951
56,3027,6951
57,3027,17078
58,3028,10928
59,3028,3020
60,3028,6951
61,3029,3367
62,3029,11451
63,3029,10907
64,3029,25458
65,3029,17078
66,3029,
67,3029,8336
68,3030,14083
69,3030,
70,3030,
71,3030,8336
72,3030,15141
73,3031,6212
74,3031,65
75,3031,
76,3032,9771
77,3032,6212
78,3032,8528
79,3033,5366
80,3033,15130
81,3033,4482
82,3034,15130
83,3036,5366
84,3036,63
85,3036,11001
86,3037,4551
87,3037,7466
88,3037,6974
89,3037,11001
90,3037,13769
91,3037,10902
92,3038,7466
93,3038,11001
94,3039,10067
95,3040,19182
96,3040,4482
97,3041,19182
98,3041,6429
99,3042,4842
100,3042,5366
101,3042,4482
102,3043,5366
103,3043,
104,3043,10202
105,3043,3683
106,3044,16841
107,3044,6446
108,3044,5067
109,3044,15325
110,3045,63
111,3046,
112,3046,15325
113,3047,6021
114,3047,6474
115,3047,10202
116,3048,6474
117,3048,11549
118,3048,5920
119,3049,10202
120,3049,5920
121,3050,4045
122,3051,14582
123,3052,9397
124,3052,4045
125,3053,9422
126,3054,8757
127,3054,6129
128,3055,19004
129,3055,9397
130,3056,19004
131,3057,19004
132,3057,8757
133,3058,16841
134,3058,6446
135,3058,
136,3058,13801
137,3058,5067
138,3059,11549
139,3059,10352
140,3060,7001
141,3060,6474
142,3061,6474
143,3062,10352
144,3063,8242
145,3063,
146,3063,11549
147,3064,4855
148,3064,
149,3064,10352
150,3065,7189
151,3066,6380
152,3067,6589
153,3068,8757
154,3068,8812
155,3068,6261
156,3070,5937
157,3070,16821
158,3070,12125
159,3071,16821
160,3071,12125
161,3072,
162,3072,15566
163,3072,13801
164,3073,15566
165,3073,13801
166,3074,11440
167,3074,10402
168,3075,11440
169,3075,10402
170,3076,
171,3076,10984
172,3078,5937
173,3078,16821
174,3078,6261
175,3079,8255
176,3079,5519
177,3081,8179
178,3082,10984
179,3082,6918
180,3083,5821
181,3083,5516
182,3083,6278
183,3083,4471
184,3083,3521
185,3084,9755
186,3084,5519
187,3084,11035
188,3085,9755
189,3085,11035
190,3085,6278
191,3086,6278
192,3087,11035
193,3087,5516
194,3088,13043
195,3088,10215
196,3088,11035
197,3088,5516
198,3088,6326
199,3089,9167
200,3090,6326
201,3091,2195
202,3091,6326
203,3093,10215
204,3094,10215
205,3095,13043
206,3095,10215
207,3095,15220
208,3095,4402
209,3096,9167
210,3097,3317
211,3097,4402
212,3099,2195
213,3099,3317
214,3101,6589
215,3101,6261
216,3101,17095
217,3101,4272
218,3102,17095
219,3102,4272
220,3103,11052
221,3103,13512
222,3104,13512
223,3104,11124
224,3105,6946
225,3106,10914
226,3106,8144
227,3107,6946
228,3107,14237
229,3107,10914
230,3107,8144
231,3108,6946
232,3108,14237
233,3108,
234,3108,8144
235,3109,
236,3109,10473
237,3109,6810
238,3111,
239,3111,10473
240,3111,6810
241,3113,4402
242,3113,6810
243,3114,10473
244,3114,6168
245,3115,6810
246,3115,11754
247,3116,6810
248,3116,7024
249,3116,13601
250,3121,
251,3122,17287
252,3122,11148
253,3123,11555
254,3123,11148
255,3124,14501
256,3124,11555
257,3124,11148
258,3124,11103
259,3125,7160
260,3125,11715
261,3126,11052
262,3126,11103
263,3127,11052
264,3127,14501
265,3127,11103
266,3127,11124
267,3127,6925
268,3128,12915
269,3129,11124
270,3130,14088
271,3130,6283
272,3131,6407
273,3131,7287
274,3132,
275,3133,6497
276,3133,7617
277,3134,10473
278,3134,6810
279,3134,11754
280,3134,10844
281,3134,12498
282,3134,6168
283,3134,6497
284,3135,
285,3135,10844
286,3135,12498
287,3136,
288,3136,11754
289,3136,10844
290,3137,7251
291,3137,
292,3137,5430
293,3137,4102
294,3138,7024
295,3138,4102
296,3138,13601
297,3139,5976
298,3139,5021
299,3139,9341
300,3139,11140
301,3140,11566
302,3140,13601
303,3141,5106
304,3141,16272
305,3142,10071
306,3142,17287
307,3143,6974
308,3143,15150
309,3144,6974
310,3144,10071
311,3144,14437
312,3145,
313,3145,14662
314,3145,14437
315,3145,14094
316,3146,
317,3146,11555
318,3146,11148
319,3146,14437
320,3146,14094
321,3147,
