,Shopping_Center_Name,Location,Postcode
0,206 BOURKE STREET,"-37.812733, 144.966947",3000
1,ACLAND COURT SHOPPING CENTRE,"-37.812733, 144.966947",3000
2,ALTONA GATE SHOPPING CENTRE,"-37.812733, 144.966947",3000
3,BALNARRING VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
4,BARKLY SQUARE,"-37.812733, 144.966947",3000
5,BARRABOOL HILLS PLAZA,"-37.812733, 144.966947",3000
6,BAYSIDE SHOPPING CENTRE,"-37.812733, 144.966947",3000
7,BELLARINE VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
8,BELLPOST SHOPPING CENTRE,"-37.812733, 144.966947",3000
9,BELMONT VILLAGE,"-37.812733, 144.966947",3000
10,BENDIGO MARKETPLACE,"-37.812733, 144.966947",3000
11,BENTONS SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
12,BERWICK MARKETPLACE,"-37.812733, 144.966947",3000
13,BIRALLEE VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
14,BOURKE STREET MALL,"-37.812733, 144.966947",3000
15,BOX HILL CENTRAL,"-37.812733, 144.966947",3000
16,BRAND SMART PREMIUM OUTLET CENTRE,"-37.812733, 144.966947",3000
17,BRANDON PARK SHOPPING CENTRE,"-37.812733, 144.966947",3000
18,BRAYBROOK SHOPPING CENTRE,"-37.812733, 144.966947",3000
19,BRIMBANK CENTRAL SHOPPING CENTRE,"-37.812733, 144.966947",3000
20,BROADMEADOWS SHOPPING CENTRE,"-37.812733, 144.966947",3000
21,BULLEEN PLAZA,"-37.812733, 144.966947",3000
22,BURNSIDE HUB,"-37.812733, 144.966947",3000
23,BURWOOD ONE SHOPPING CENTRE,"-37.812733, 144.966947",3000
24,CAMBERWELL SUNDAY MARKET,"-37.812733, 144.966947",3000
25,CAMPBELLFIELD PLAZA,"-37.812733, 144.966947",3000
26,CANTERBURY GARDENS SHOPPING CENTRE,"-37.812733, 144.966947",3000
27,CARNEGIE CENTRAL,"-37.812733, 144.966947",3000
28,CAULFIELD PLAZA SHOPPING CENTRE,"-37.812733, 144.966947",3000
29,CENTRAL SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
30,CENTRAL WEST SHOPPING CENTRE,"-37.812733, 144.966947",3000
31,CENTRO SUNSHINE MARKETPLACE,"-37.812733, 144.966947",3000
32,CENTURY CITY WALK,"-37.812733, 144.966947",3000
33,CHADSTONE THE FASHION CAPITAL,"-37.812733, 144.966947",3000
34,CHIRNSIDE HOMEMAKER CENTRE,"-37.812733, 144.966947",3000
35,CHIRNSIDE PARK SHOPPING CENTRE,"-37.812733, 144.966947",3000
36,CIVIC SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
37,COBURG HILL SHOPPING CENTRE,"-37.812733, 144.966947",3000
38,COLLINS PLACE,"-37.812733, 144.966947",3000
39,COLLINS234 BOUTIQUE PLACE,"-37.812733, 144.966947",3000
40,CORIO VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
41,CRAIGIEBURN CENTRAL,"-37.812733, 144.966947",3000
42,CRANBOURNE HOMEMAKER CENTRE,"-37.812733, 144.966947",3000
43,CRANBOURNE PARK,"-37.812733, 144.966947",3000
44,CROYDON CENTRAL SHOPPING CENTRE,"-37.812733, 144.966947",3000
45,CS SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
46,DANDENONG PLAZA,"-37.812733, 144.966947",3000
47,DARLEY PLAZA,"-37.812733, 144.966947",3000
48,DFO ESSENDON,"-37.812733, 144.966947",3000
49,DFO MOORABBIN,"-37.812733, 144.966947",3000
