标题,标题链接,st,stores
206 BOURKE STREET,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/206-bourke-street-melbourne,"Victoria, Melbourne, GPS: -37.812733, 144.966947 | phone: Not Available | stores: 16",16
ACLAND COURT SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/st-kilda/acland-court-shopping-centre,"Victoria, St Kilda, GPS: -37.868967, 144.980617 | phone: +61 3 9593 9600 | stores: 13",13
ALTONA GATE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/altona-gate-shopping-centre,"Victoria, Melbourne, GPS: -37.828989, 144.84627 | phone: 03 9316 2222 | stores: 83",83
BALNARRING VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/balnarring/balnarring-village-shopping-centre,"Victoria, Balnarring, GPS: -38.373199, 145.12501 | phone: +61 427 116 866 | stores: 29",29
BARKLY SQUARE,https://www.australia-shoppings.com/malls-centres/victoria/brunswick/barkly-square,"Victoria, Brunswick, GPS: -37.775695, 144.962004 | phone: 03 9385 8200 | stores: 46",46
BARRABOOL HILLS PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/geelong/barrabool-hills-plaza,"Victoria, Geelong, GPS: -38.161872, 144.305826 | phone: +61 3 8562 1136 | stores: 11",11
BAYSIDE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/frankston/bayside-shopping-centre,"Victoria, Frankston, GPS: -38.141951, 145.124068 | phone: +61 3 9771 1700 | stores: 279",279
BELLARINE VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/newcomb/bellarine-village-shopping-centre,"Victoria, Newcomb, GPS: -38.168784, 144.388547 | phone: 03 9693 7400 | stores: 24",24
BELLPOST SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/geelong/bellpost-shopping-centre,"Victoria, Geelong, GPS: -38.089309, 144.336645 | phone: Not Available | stores: 10",10
BELMONT VILLAGE,https://www.australia-shoppings.com/malls-centres/victoria/belmont-victoria/belmont-village,"Victoria, Belmont, GPS: -38.170104, 144.349107 | phone: 1300 550 109 | stores: 14",14
BENDIGO MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/bendigo/bendigo-marketplace,"Victoria, Bendigo, GPS: -36.765765, 144.280743 | phone: 03 5441 6906 | stores: 100",100
BENTONS SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mornington/bentons-square-shopping-centre,"Victoria, Mornington, GPS: -38.245416, 145.048067 | phone: 03 5973 5331 | stores: 46",46
BERWICK MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/berwick/berwick-marketplace,"Victoria, Berwick, GPS: -38.02951, 145.346619 | phone: Not Available | stores: 7",7
BIRALLEE VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/wodonga-victoria/birallee-village-shopping-centre,"Victoria, Wodonga, GPS: -36.127763, 146.86482 | phone: Not Available | stores: 17",17
