park,suburb
Cairnlea Dog Park, Cairnlea
Casey Fields Dog Park, Cranbourne East
Edwardes Lake Dog Park, Reservoir West
Merrifield Dog Park, Mickleham
Roy Dore Dog Park, Carrum
Emerson Place Reserve Dog Park, Rowville
Parkwood Reserve Dog Park, Ringwood North
Thompson Reserve Dog Park, Maribyrnong
Cliff Whitworth Reserve Dog Park, Essendon West
Eltham North Dog Park, Eltham North
MO Moran Reserve Dog Park, Elwood
Thomas Oval Dog Park, South Yarra
Bulban Road Dog Park, Werribee
Were Street Reserve Pocket Park, Montmorency
Waterdale Road Pocket Parks and Shared Zone, Ivanhoe
Leslie Street Pocket Park, St Albans
Glengala Pocket Park, Sunshine West
Cary Street Pocket Park, Sunshine North
Oakover Pocket Park, Preston
Evelyn Street Pocket Park, Frankston
Bentleigh Plaza Pocket Park, Bentleigh
Aileen Avenue Pocket Park, Caulfield South
Herbert Street Pocket Park, Dandenong
Horscroft Place Pocket Park, Moorabbin
Birmingham Street Pocket Park, Yarraville
Warde and Whitehall Streets Pocket Park, Footscray
Bedford Street Pocket Park, North Melbourne
Cambridge Street Pocket Park, Oakleigh
Cameron Avenue Pocket Park, Oakleigh South
Westerfield Drive Reserve Pocket Park, Notting Hill
Mount Alexander Road Triangle Pocket Park, Flemington
Pattison Street Pocket Park, Moonee Ponds
Strathaird Reserve (southern portion) Pocket Park, Strathmore
Frith Street Pocket Park, Brunswick
Cardinal Road Pocket Park, Glenroy
Andrew Park Pocket Park, Eltham
Kings Place Plaza - Cobden Street Pocket Park, South Melbourne
Palais Theatre Forecourt Pocket Park, St Kilda
Mount Street Pocket Park, Prahran
Regent Street Pocket Park, Prahran
Cambridge Street Pocket Park, Collingwood
Otter and Smith Streets Pocket Park, Collingwood
Alexandra Avenue Dog Park, Ararat
James Reserve Dog Park, Buninyong
Dowton Park Dog Park, Yarragon
Don Jackson Reserve Dog Park, Pakenham
Tirhatuan Park Dog Park, Dandenong North
Sandfield Reserve Dog Park, Carrum Downs
Barwon River Dog Park, Belmont
Henty Park Dog Park, Portland
PA Burns Reserve Dog Park, Altona
Avoca Street Dog Park, Eynesbury
Rio Vista Park Dog Park, Mildura
East Street Dog Park, Kilmore
Princess Park Dog Park, Shepparton
Barry Steggall Park Dog Park, Swan Hill
Redleap Reserve Dog Park, Mill Park
Belgrave Lake Park Dog Park, Belgrave
Rotary Park Dog Park, Warracknabeal
Gordon Barnard Reserve Dog Park,Balwyn North
